Coordinates,County,State,Latitude,Longitude,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,ZIP,Population (2020 census),Area (mi^2),Density (Population/mi^2),"Total Population Change, Annual Change, July 1, 2021 to July 1, 2022","Total Population Change, Cumulative Change, April 1, 2020 to July 1, 2022",Population Change Percent 2021-2022,"Assault crimes per 1,000","Robbery crimes per 1,000","Rape crimes per 1,000","Murder crimes per 1,000","Theft crimes per 1,000","Vehicle_Theft crimes per 1,000","Burglary crimes per 1,000","Arson crimes per 1,000","Kidnapping crimes per 1,000","Drug_Crimes crimes per 1,000","Vandalism crimes per 1,000","Identity_Theft crimes per 1,000","Animal_Cruelty crimes per 1,000","Total_Violent_Crime_Value crimes per 1,000",Total_Violent_Crime_Grade,"Total_Property_Crime_Value crimes per 1,000",Total_Property_Crime_Grade,Total_Other_Rate_Value,Total_Other_Rate_Grade,Median Home Price Q1 2023,Monthly Payment Q1 2023,Monthly Payment Q1 2022,Percent Change in Monthly Payment,Average_S8_Rent,S8 rent - Mortgage Payment,Landlord Friendly,Investment_Score,Investment Rank,S8 rent - Mortgage Payment_log_transformed,"Total_Violent_Crime_Value crimes per 1,000_log_transformed",Population (2020 census)_log_transformed
"43.6446171312, -86.5817719968",Oceana County,MI,43.64461713,-86.581772,613,635,836,1031,1246,49421,26659,1307,20.397,89,315,0.334,2,0.1977,0.7133,0.0173,5.496,0.7785,4.793,0.1068,0.0543,1.524,5.977,1.064,0.0489,2.928,C,11.17,C,8.668,C-,175497,985,649,51.772,872.2,-112.8,Landlord Friendly,8.697804584,440,8.617291888,1.498282863,10.2008105
"44.3349392585, -84.1264136573",Ogemaw County,MI,44.33493926,-84.12641366,613,731,826,1012,1110,48661,20770,575,36.122,187,201,0.9,1.925,0.2109,0.7316,0.0146,5.879,0.9488,4.168,0.0871,0.0423,2.246,6.4,1.177,0.0592,2.882,C,11.08,C,9.925,D+,143008,803,550,46,858.4,55.4,Landlord Friendly,8.882011525,199,8.647273636,1.487948015,9.953990535
"47.0221845765, -89.4347315443",Ontonagon County,MI,47.02218458,-89.43473154,571,709,826,1005,1174,49948,5816,3741,1.555,8,49,0.138,27.32,0.4613,1.012,0.0415,107,1.765,11.27,0.4353,0.3617,9.114,39.24,14.57,0.4807,28.83,F,120.5,F,63.77,F,102129,573,396,44.697,857,284,Landlord Friendly,8.907668294,171,8.686632122,3.413652823,8.713088868
"44.6817581821, -84.1297714192",Oscoda County,MI,44.68175818,-84.12977142,571,708,826,1061,1174,48619,8219,572,14.369,76,179,0.925,1.966,0.0264,0.706,0.0118,4.803,0.7518,6.14,0.185,0.0096,5.204,12.05,1.372,0.0658,2.711,C+,11.88,C-,18.7,D-,139679,784,516,51.938,868,84,Landlord Friendly,8.905067817,176,8.652283369,1.448564687,9.046055178
"45.0214343278, -84.5989931681",Otsego County,MI,45.02143433,-84.59899317,636,699,920,1219,1394,49795,25091,526,47.702,293,549,1.168,1.734,0.3173,0.7077,0.0148,4.359,0.9077,5.09,0.0988,0.0134,0.4559,4.356,1.361,0.0508,2.773,C+,10.46,C+,6.237,B-,207055,1162,784,48.214,973.6,-188.4,Landlord Friendly,8.667400338,471,8.603517666,1.463023894,10.14081011
"45.4493130951, -83.5277564528",Presque Isle County,MI,45.4493131,-83.52775645,571,628,826,1071,1261,49707,12982,2573,5.045,188,380,1.448,2.604,0.4599,0.7384,0.0369,7.854,1.225,5.687,0.1119,0.1032,1.601,7.611,1.069,0.0673,3.84,D+,14.88,D+,10.45,D+,151530,850,592,43.581,871.4,21.4,Landlord Friendly,8.870708974,215,8.641285173,1.683802994,9.491601877
"44.335608598, -84.6115999116",Roscommon County,MI,44.3356086,-84.61159991,623,628,826,1105,1217,48651,23459,580,40.447,31,258,0.132,3.439,0.0425,0.7211,0.0112,4.791,1.031,6.311,0.1891,0.0662,1.44,3.052,1.123,0.0632,4.214,D,12.32,C-,5.744,B,157655,885,593,49.241,879.8,-5.2,Landlord Friendly,8.777556904,354,8.636574948,1.750937475,10.07428462
"43.3350287366, -84.0531870389",Saginaw County,MI,43.33502874,-84.05318704,623,707,931,1186,1251,48604,190124,816,232.995,-1260,-1798,-0.663,3.722,0.8731,0.8432,0.0125,5.71,1.526,4.617,0.178,1.076,3.219,5.579,1.252,0.0547,5.451,D-,12.03,C-,11.18,D+,158869,892,636,40.252,939.6,47.6,Landlord Friendly,8.806099054,306,8.645902979,1.945481486,12.15682988
"43.4433116085, -82.6457538571",Sanilac County,MI,43.44331161,-82.64575386,582,628,826,1080,1152,48466,40611,1590,25.542,53,38,0.131,1.969,0.1645,0.7045,0.0109,4.251,0.701,4.903,0.0616,0.0149,0.67,4.254,1.097,0.0551,2.849,C,9.917,C+,6.091,B-,174299,978,647,51.159,853.6,-124.4,Landlord Friendly,8.680864302,457,8.615190666,1.480467531,10.61832284
"46.0424798151, -86.1772944904",Schoolcraft County,MI,46.04247982,-86.17729449,571,628,826,1089,1174,49883,8047,1884,4.271,128,139,1.591,4.648,0.0657,0.7691,0.0288,23.78,0.7554,6.707,0.2313,0.5934,4.968,49.39,1.371,0.1285,5.511,D-,31.48,D-,56.45,F,164978,926,609,52.053,857.6,-68.4,Landlord Friendly,8.790673777,334,8.625293949,1.954020032,9.025575834
"42.9537338684, -84.1467311037",Shiawassee County,MI,42.95373387,-84.1467311,648,652,858,1162,1212,48817,68094,541,125.867,24,-73,0.035,2.145,0.1309,0.7066,0.0111,5.261,0.8129,3.248,0.0634,0.1291,1.761,4.451,1.127,0.0471,2.993,C,9.385,B-,7.515,C+,194938,1094,845,29.467,906.4,-187.6,Landlord Friendly,8.626002541,515,8.603664423,1.512706723,11.13254314
"43.4913425333, -83.4398685744",Tuscola County,MI,43.49134253,-83.43986857,571,689,826,1151,1256,48767,53323,914,58.34,-101,-377,-0.189,1.14,0.1244,0.7038,0.0121,3.817,0.8875,3.375,0.0422,0.0579,0.7811,8.821,1.101,0.0329,1.98,A-,8.122,B,10.79,D+,149665,840,576,45.833,898.6,58.6,Landlord Friendly,8.831358551,267,8.647835414,1.260164084,10.8890991
"42.2532253491, -83.83877051",Washtenaw County,MI,42.25322535,-83.83877051,1148,1153,1384,1684,1926,48197,372258,723,514.88,1378,-5889,0.37,2.711,1.073,0.7608,0.0124,6.385,2.174,3.047,0.1383,0.1555,1.824,6.501,1.385,0.0236,4.556,D,11.74,C-,9.889,D+,400006,2245,1431,56.883,1459,-786,Landlord Friendly,8.11013668,1050,8.48739356,1.808616586,12.82805674
"44.3383668115, -85.5784138137",Wexford County,MI,44.33836681,-85.57841381,589,663,852,1101,1290,49638,33673,576,58.46,256,528,0.76,2.714,0.8577,0.7184,0.0108,6.45,0.7727,5.83,0.0614,0.0411,1.937,6.044,1.345,0.0929,4.301,D,13.11,D+,9.46,C-,164579,924,615,50.244,899,-25,Landlord Friendly,8.79429067,326,8.633054382,1.765928709,10.43232007
"46.6082572906, -93.4154290883",Aitkin County,MN,46.60825729,-93.41542909,632,643,847,1134,1138,56469,15697,1819.3,8.628,181,423,1.153,1.194,0.7823,0.4264,0.018,5.536,0.7428,5.369,0.0361,0.0207,0.2052,8.837,1.235,0.0583,2.421,D,11.68,C+,10.36,D+,248998,1397,938,48.934,878.8,-518.2,Neutral,7.878948902,1218,8.541105011,1.378010142,9.678028823
"45.2732429118, -93.2464685787",Anoka County,MN,45.27324291,-93.24646858,1007,1149,1410,1916,2209,55038,363887,423.61,859.014,1448,4972,0.398,0.2026,0.1428,0.3949,0.0154,6.185,0.722,1.429,0.0153,0.1803,0.9321,2.629,1.1,0.0226,0.7557,A+,8.351,A,4.864,A,351868,1975,1325,49.057,1538.2,-436.8,Neutral,7.971055718,1161,8.556875337,0.83364798,12.80532939
"46.9346483657, -95.673923543",Becker County,MN,46.93464837,-95.67392354,578,681,865,1178,1317,56511,35183,1310.42,26.849,45,195,0.128,0.5173,0.1194,0.4281,0.0399,6.895,0.7207,3.3,0.0533,0.0165,1.18,5.853,1.177,0.0536,1.105,B+,10.97,B-,8.28,C,280679,1575,1036,52.027,923.8,-651.2,Neutral,7.709794567,1290,8.514790307,0.974936927,10.47585032
"47.9737829027, -94.9376544511",Beltrami County,MN,47.9737829,-94.93765445,702,798,1050,1278,1522,56647,46228,2505.27,18.452,379,569,0.82,0.7811,0.0381,0.4326,0.0179,4.842,0.7383,4.29,0.0223,0.019,0.5148,10.06,1.142,0.0173,1.27,B-,9.892,B,11.76,D,224569,1260,854,47.541,1070,-190,Neutral,8.142559116,1017,8.603224088,1.035317438,10.74707855
"45.4260991444, -96.410918404",Big Stone County,MN,45.42609914,-96.4109184,552,651,826,1174,1264,56236,5166,496.95,10.395,-18,-24,-0.348,0.2162,0.2547,0.444,0.0233,3.504,0.656,3.909,0.026,0.0514,0.2435,14.97,1.111,0.024,0.9382,A-,8.095,A,16.4,D-,135377,760,557,36.445,893.4,133.4,Neutral,8.385549203,766,8.660877865,0.909950676,8.600062669
"44.034587103, -94.0670290696",Blue Earth County,MN,44.0345871,-94.06702907,828,845,1056,1478,1799,56068,69112,752.36,91.86,270,502,0.391,0.4798,0.3574,0.4244,0.0664,7.682,0.6274,4.495,0.0138,0.0221,0.6538,7.365,1.162,0.0228,1.328,B-,12.82,C,9.227,C-,260760,1463,1220,19.918,1201.2,-261.8,Neutral,8.049933203,1106,8.589960265,1.055704788,11.14732509
"46.592401392, -92.6770526205",Carlton County,MN,46.59240139,-92.67705262,780,838,1087,1435,1789,55720,36207,860.33,42.085,253,507,0.699,1.363,0.406,0.4403,0.0181,14.22,1.288,4.9,0.0404,0.0742,1.157,11.28,1.126,0.0371,2.227,D,20.45,D,13.68,D-,241505,1355,906,49.558,1185.8,-169.2,Neutral,8.137989447,1023,8.607033895,1.327870441,10.50432754
"44.82075943, -93.8025859879",Carver County,MN,44.82075943,-93.80258599,1007,1149,1410,1916,2209,55367,106922,357.04,299.468,1208,3120,1.13,0.3558,0.0147,0.3974,0.0218,7.109,0.6904,2.64,0.0258,0.018,0.3012,3.846,1.122,0.0367,0.7896,A+,10.46,B-,5.324,A-,467810,2625,1906,37.723,1538.2,-1086.8,Neutral,7.34235835,1364,8.423409845,0.848268817,11.58233958
"45.5024730826, -92.9083421514",Chisago County,MN,45.50247308,-92.90834215,1007,1149,1410,1916,2209,55092,56621,417.63,135.577,444,1367,0.784,0.368,0.0412,0.4024,0.0155,7.014,0.882,2.332,0.0163,0.0927,0.3974,2.274,1.119,0.015,0.8271,A,10.24,B,3.898,A+,312388,1753,1229,42.636,1538.2,-214.8,Neutral,8.080724624,1077,8.598662573,0.864197117,10.94882212
"44.0071075264, -95.1811530449",Cottonwood County,MN,44.00710753,-95.18115304,552,706,826,1029,1253,56019,11517,639.99,17.996,-222,-150,-1.928,0.3037,0.0542,0.4274,0.0344,6.097,0.6079,3.95,0.0122,0.1573,0.2108,11.72,1.095,0.0541,0.8197,A,10.67,B-,13.24,D-,148992,836,547,52.834,873.2,37.2,Neutral,8.218026283,962,8.644072508,0.861073961,9.374413094
"46.482373828, -94.0708780275",Crow Wing County,MN,46.48237383,-94.07087803,665,755,994,1280,1397,56472,66123,996.57,66.351,603,1826,0.912,0.5282,0.0728,0.4303,0.0276,7.915,0.9005,3.387,0.0266,0.0331,1.806,5.009,1.13,0.0486,1.059,B+,12.23,C,8.027,C+,320122,1796,963,86.501,1018.2,-777.8,Neutral,7.635839004,1305,8.489081741,0.957432675,11.10328666
"44.6718744229, -93.0654245878",Dakota County,MN,44.67187442,-93.06542459,1007,1149,1410,1916,2209,55076,439882,569.58,772.292,568,3457,0.129,0.4098,0.342,0.4105,0.0157,7.3,0.8598,2.075,0.017,0.0622,0.6407,4.712,1.114,0.01,1.178,B,10.25,B,6.539,B,396937,2228,1512,47.354,1538.2,-689.8,Neutral,7.726080174,1286,8.507021636,1.002101388,12.99486631
"43.6739283199, -93.947999339",Faribault County,MN,43.67392832,-93.94799934,552,660,826,1152,1156,56033,13921,713.63,19.507,16,4,0.115,0.4052,0.0608,0.4216,0.016,3.119,0.7215,4.852,0.0122,0.0273,0.365,11.25,1.111,0.0433,0.9037,A,8.705,A-,12.79,D,124308,698,481,45.114,869.2,171.2,Neutral,8.449345271,698,8.667404694,0.895965568,9.560081331
"43.6739971693, -92.0901672654",Fillmore County,MN,43.67399717,-92.09016727,659,663,873,1184,1323,55951,21228,861.25,24.648,111,185,0.523,0.7089,0.1511,0.4374,0.0366,6.775,0.6727,4.337,0.0217,0.0545,0.158,7.293,1.095,0.038,1.334,B-,11.81,C+,8.638,C,212482,1192,816,46.078,940.4,-251.6,Neutral,8.084033516,1072,8.591855296,1.057790294,9.975529105
"43.6738441803, -93.3488158578",Freeborn County,MN,43.67384418,-93.34881586,584,664,874,1087,1278,56042,30895,707.64,43.659,-90,-183,-0.291,0.964,0.2003,0.4133,0.0164,6.632,0.6436,3.707,0.0115,0.0411,0.4181,6.431,1.109,0.0182,1.594,C,10.99,B-,8.017,C+,168077,943,622,51.608,897.4,-45.6,Neutral,8.230819652,942,8.629378366,1.1442228,10.34692259
"44.4096825746, -92.7229029989",Goodhue County,MN,44.40968257,-92.722903,693,783,921,1309,1569,55027,47582,758.27,62.751,-5,433,-0.011,0.2344,0.1092,0.4073,0.0156,4.935,0.7466,2.404,0.0174,0.0398,0.2416,5.863,1.095,0.0148,0.7664,A+,8.103,A,7.254,B-,285132,1600,1088,47.059,1055,-545,Neutral,7.789077841,1259,8.535857917,0.838285946,10.7757846
"45.0045756364, -93.4768864968",Hennepin County,MN,45.00457564,-93.4768865,1007,1149,1410,1916,2209,55375,1281565,556.62,2302.406,-6615,-21447,-0.516,0.1132,0.2666,0.394,0.0153,5.164,0.7607,1.195,0.0249,0.1832,0.9647,2.185,1.096,0.006,0.7891,A+,7.144,A+,4.435,A,415606,2332,1593,46.39,1538.2,-793.8,Neutral,7.850662685,1235,8.48578508,0.848054717,14.06380008
"47.108629802, -94.9166206034",Hubbard County,MN,47.1086298,-94.9166206,596,677,891,1121,1307,56467,21344,922.46,23.138,215,612,1.007,0.6132,0.1149,0.4339,0.0154,6.636,0.7638,4.324,0.0393,0.0558,0.5833,6.43,1.179,0.0629,1.178,B,11.76,C+,8.311,C,279025,1566,1065,47.042,918.4,-647.6,Neutral,7.75923712,1274,8.515511779,1.002101388,9.98091145
"45.5614793413, -93.2951672181",Isanti County,MN,45.56147934,-93.29516722,1007,1149,1410,1916,2209,55080,41135,439.07,93.687,776,1594,1.886,0.4345,0.5074,0.4106,0.0187,5.22,0.7202,2.631,0.0177,0.1381,0.3069,5.474,1.097,0.0452,1.371,C+,8.589,A-,7.061,B-,271720,1525,1077,41.597,1538.2,13.2,Neutral,8.335699197,824,8.639835513,1.070555691,10.63106031
"47.5095252347, -93.6320085311",Itasca County,MN,47.50952523,-93.63200853,723,728,958,1166,1287,56681,45014,2665.06,16.89,147,187,0.327,0.6514,1.364,0.483,0.0212,15.85,1.367,7.709,0.0717,0.0627,0.1143,12.06,1.372,0.3322,2.52,D,25,D-,13.94,D-,217698,1222,837,45.998,972.4,-249.6,Neutral,8.067070865,1083,8.59222645,1.402659715,10.72062071
"45.9452167902, -93.2934250568",Kanabec County,MN,45.94521679,-93.29342506,651,748,974,1304,1308,55030,16032,524.93,30.541,276,436,1.722,0.5519,0.7914,0.4269,0.0153,7.619,0.6295,3.906,0.0139,0.0467,0.3587,4.133,1.104,0.0386,1.785,C-,12.17,C,5.681,B+,222788,1250,864,44.676,997,-253,Neutral,8.139225766,1020,8.591595406,1.203272559,9.69879768
"45.1523823451, -95.0047424624",Kandiyohi County,MN,45.15238235,-95.00474246,679,705,848,1205,1431,56201,43732,796.06,54.936,-26,106,-0.059,0.8211,0.2714,0.441,0.0166,14.74,1.112,4.437,0.0206,0.0387,2.306,7.115,1.162,0.0162,1.55,C,20.31,D,10.64,D+,239964,1347,910,48.022,973.6,-373.4,Neutral,7.944176708,1189,8.56898836,1.130110956,10.69189946
"48.7766295653, -96.7828440349",Kittson County,MN,48.77662957,-96.78284403,552,628,826,1005,1243,56755,4207,1097.08,3.835,-103,-158,-2.448,0.5239,0.9204,0.5174,0.0363,40.06,0.8446,6.231,0.0545,0.0337,7.185,12.06,1.412,0.1073,1.998,D+,47.19,F,20.8,F,140721,790,493,60.243,850.8,60.8,Neutral,8.205244926,975,8.648221454,1.265256033,8.405814603
"48.2452683995, -93.7833663013",Koochiching County,MN,48.2452684,-93.7833663,552,628,826,1006,1202,56653,12062,3102.36,3.888,-100,-215,-0.829,0.2813,0.135,0.4458,0.0187,7.982,0.9395,6.485,0.0556,0.1242,3.16,5.092,1.345,0.0611,0.8808,A,15.46,D+,9.783,C-,147210,826,591,39.763,842.8,16.8,Neutral,8.261143916,899,8.640472208,0.886573517,9.419628377
"44.995486929, -96.1734786585",Lac qui Parle County,MN,44.99548693,-96.17347866,552,628,826,1032,1255,56257,6719,764.87,8.784,-26,-33,-0.387,0.4447,0.6535,0.4671,0.0228,3.923,0.6345,5.529,0.0448,0.0383,5.3,10.03,1.107,0.1934,1.588,C,10.13,B,16.66,F,136141,764,499,53.106,858.6,94.6,Neutral,8.34934524,806,8.654133766,1.142310144,8.851520272
"48.771256978, -94.9045482536",Lake of the Woods County,MN,48.77125698,-94.90454825,605,689,905,1101,1317,56686,3763,1296.7,2.902,50,106,1.329,0.6918,0.6822,0.4531,0.0987,23.19,1.218,7.274,0.0617,0.0199,0.119,3.388,1.382,0.0299,1.926,D+,31.75,D-,4.939,A-,230040,1291,918,40.632,923.4,-367.6,Neutral,8.01888266,1124,8.570089201,1.244730797,8.301273485
"44.3714339354, -93.7300728963",Le Sueur County,MN,44.37143394,-93.7300729,711,755,994,1376,1625,56058,28674,448.5,63.933,235,481,0.82,0.4836,0.0687,0.4184,0.0157,5.905,0.7107,3.134,0.0139,0.0406,0.3829,3.545,1.122,0.0313,0.9864,A-,9.764,B,5.122,A-,304472,1709,1158,47.582,1092.2,-616.8,Neutral,7.762858064,1271,8.521663186,0.92916747,10.27298
"47.3252360192, -95.8090496343",Mahnomen County,MN,47.32523602,-95.80904963,552,644,826,1005,1110,56589,5411,556.14,9.73,-59,-72,-1.09,1.775,1.316,0.5609,0.0378,24.91,1.897,7.816,0.0845,0.1157,1.321,6.091,1.185,0.1518,3.689,F,34.7,F,8.864,C,146574,823,570,44.386,827.4,4.4,Neutral,8.223361912,949,8.638277439,1.655366844,8.644178203
"44.8235439383, -94.2724202106",McLeod County,MN,44.82354394,-94.27242021,641,643,847,1204,1443,55312,36771,491.91,74.751,-93,-45,-0.253,0.498,0.3385,0.4232,0.0169,6.806,0.6332,3.471,0.0152,0.007,0.2908,5.334,1.095,0.028,1.277,B-,10.93,B-,6.754,B,234748,1317,876,50.342,955.6,-361.4,Neutral,7.949219146,1183,8.571264623,1.037800149,10.51967269
"45.1231152442, -94.5273094656",Meeker County,MN,45.12311524,-94.52730947,589,679,881,1247,1394,55355,23400,608.54,38.453,105,96,0.449,0.5592,0.7991,0.417,0.0158,7.896,0.7062,3.322,0.0134,0.0592,1.605,4.896,1.102,0.0296,1.791,C-,11.94,C+,7.692,C+,237165,1331,898,48.218,958,-373,Neutral,7.968820367,1164,8.569064319,1.2050722,10.0717947
"45.9380407246, -93.630083459",Mille Lacs County,MN,45.93804072,-93.63008346,676,758,998,1408,1700,56363,26459,574.47,46.058,388,813,1.466,0.4117,0.027,0.4214,0.0153,5.383,0.6409,2.441,0.0118,0.0473,1.077,4.836,1.095,0.0302,0.8754,A,8.477,A-,7.085,B-,236402,1327,872,52.179,1108,-219,Neutral,8.150438783,1012,8.597887994,0.884345885,10.19335474
"46.0126176925, -94.2684153059",Morrison County,MN,46.01261769,-94.26841531,583,637,839,1169,1272,56340,34010,1124.5,30.245,175,236,0.515,0.2585,0.4739,0.4132,0.0201,6.072,0.6589,2.906,0.0146,0.1054,0.3287,5.835,1.158,0.0246,1.166,B,9.651,B+,7.451,B-,243527,1367,911,50.055,900,-467,Neutral,7.898347516,1207,8.551053409,0.99768637,10.44220068
"43.6714700417, -92.7525135871",Mower County,MN,43.67147004,-92.75251359,648,736,969,1275,1378,55953,40029,711.5,56.26,-74,106,-0.185,1.351,0.0527,0.4297,0.0163,3.319,0.6925,2.444,0.0122,0.0078,0.2853,1.623,1.095,0.0166,1.85,C-,6.467,A+,3.027,A+,174438,979,669,46.338,1001.2,22.2,Neutral,8.286331414,877,8.64142649,1.222598268,10.60398267
"44.3498776053, -94.2473892814",Nicollet County,MN,44.34987761,-94.24738928,828,845,1056,1478,1799,56074,34454,452.29,76.177,68,-23,0.197,0.649,0.1286,0.4044,0.0165,15.32,0.6643,3.531,0.0198,0.0882,1.381,11.92,1.1,0.0189,1.198,B,19.54,D,14.51,D-,256722,1441,1016,41.831,1201.2,-239.8,Neutral,8.054652558,1099,8.594043115,1.00941671,10.45507117
"43.6742397821, -95.7533863657",Nobles County,MN,43.67423978,-95.75338637,618,702,924,1183,1241,56131,22290,715.39,31.158,-100,-347,-0.449,0.51,0.0177,0.4342,0.0166,5.816,0.8369,4.151,0.0168,0.0011,0.4893,4.138,1.096,0.0288,0.9785,A-,10.82,B-,5.753,B+,179019,1005,667,50.675,933.6,-71.4,Neutral,8.195985607,985,8.624755282,0.926043023,10.02375638
"47.3264761642, -96.4552777398",Norman County,MN,47.32647616,-96.45527774,552,628,826,1005,1202,56516,6441,876.27,7.35,-65,-65,-1.009,1.907,0.949,0.4562,0.0161,14.67,1.075,6.376,0.0419,0.0827,0.6744,2.96,1.118,0.0519,3.328,D-,22.17,D-,4.888,A-,136650,767,550,39.455,842.6,75.6,Neutral,8.291368182,869,8.65081458,1.583914955,8.810907036
"44.0037525074, -92.401770932",Olmsted County,MN,44.00375251,-92.40177093,847,985,1224,1740,2085,55960,162847,653.01,249.379,400,1171,0.246,0.4347,0.0535,0.4025,0.016,3.878,0.6368,1.789,0.0202,0.0527,0.54,2.84,1.106,0.0101,0.9067,A,6.324,A+,4.549,A,339494,1905,1368,39.254,1376.2,-528.8,Neutral,7.811760609,1254,8.539032958,0.897189459,12.00219849
"46.4087959622, -95.7080021514",Otter Tail County,MN,46.40879596,-95.70800215,651,656,863,1151,1261,56326,60081,1979.71,30.348,297,445,0.494,0.5591,0.0462,0.4263,0.0181,6.338,0.7446,4.889,0.0206,0.0214,1.284,3.34,1.19,0.0399,1.05,B+,11.99,C+,5.875,B+,266047,1493,1042,43.282,916.4,-576.6,Neutral,7.800424856,1256,8.529635464,0.953971799,11.00786652
"48.0662320513, -96.0366682912",Pennington County,MN,48.06623205,-96.03666829,629,714,940,1208,1368,56754,13992,616.54,22.694,39,-154,0.279,0.2458,0.0284,0.4431,0.0758,5.383,0.6763,4.114,0.0179,0.3121,0.8852,3.752,1.116,0.0115,0.7932,A,10.19,B,6.077,B+,206247,1157,836,38.397,971.8,-185.2,Neutral,8.128410102,1034,8.604104563,0.849808991,9.565073432
"46.120767065, -92.7412705154",Pine County,MN,46.12076707,-92.74127052,768,773,1017,1290,1415,55030,28876,1411.04,20.464,412,563,1.427,0.5519,0.7914,0.4269,0.0153,7.619,0.6295,3.906,0.0139,0.0467,0.3587,4.133,1.104,0.0386,1.785,C-,12.17,C,5.681,B+,225587,1266,873,45.017,1052.6,-213.4,Neutral,8.15247229,1008,8.598920633,1.203272559,10.27993571
"44.0229951536, -96.2586448321",Pipestone County,MN,44.02299515,-96.25864483,552,703,826,1098,1379,56156,9424,465.89,20.228,3,-61,0.032,0.4329,0.9524,0.4321,0.0231,8.008,0.9384,4.008,0.0288,0.1123,1.147,10.57,1.098,0.0365,1.84,C-,12.98,C,12.97,D,142884,802,518,54.826,911.6,109.6,Neutral,8.379680372,779,8.656746416,1.219649284,9.178849705
"45.0170541432, -93.099606274",Ramsey County,MN,45.01705414,-93.09960627,1007,1149,1410,1916,2209,55113,552352,155.78,3545.718,-6448,-15949,-1.167,0.8271,0.4996,0.4182,0.0154,32.46,2.09,2.708,0.0372,0.1143,2.475,5.743,1.156,0.0096,1.76,C-,37.29,F,9.499,C-,346755,1946,1281,51.913,1538.2,-407.8,Neutral,8.218410217,960,8.562434208,1.195738999,13.22242226
"47.8716944124, -96.0953033903",Red Lake County,MN,47.87169441,-96.09530339,552,628,826,1174,1202,56736,3935,432.43,9.1,-58,-62,-1.474,0.5268,0.2295,0.4405,0.0159,3.698,0.6824,5.704,0.055,0.0629,0.3937,2.759,1.183,0.0499,1.213,B,10.14,B,4.449,A,158280,888,629,41.176,876.4,-11.6,Neutral,8.194901002,987,8.635438343,1.014868295,8.343077871
"44.4036612077, -95.2538341808",Redwood County,MN,44.40366121,-95.25383418,552,694,826,1174,1336,56283,15425,879.73,17.534,-36,-58,-0.233,0.7066,0.4098,0.4391,0.0157,10.26,0.8947,5.07,0.0187,0.0422,1.751,7.218,1.167,0.0384,1.571,C,16.24,D+,10.22,D+,152300,855,587,45.656,916.4,61.4,Neutral,8.32331042,833,8.648326711,1.136871001,9.660842579
"44.7268149012, -94.9471503059",Renville County,MN,44.7268149,-94.94715031,697,702,826,1174,1366,56285,14723,982.92,14.979,-103,-205,-0.7,0.7094,1.201,0.4218,0.016,3.118,0.6816,3.618,0.0231,0.5086,0.661,2.311,1.095,0.0302,2.348,D,7.441,A+,4.606,A,146192,820,575,42.609,953,133,Neutral,8.353418379,802,8.660808569,1.359436907,9.615071878
"43.6746303972, -96.2532076471",Rock County,MN,43.6746304,-96.25320765,588,669,880,1134,1208,56128,9704,482.61,20.107,-137,-164,-1.412,0.2451,0.1993,0.436,0.0563,3.47,0.6184,4.309,0.0213,0.2351,1.028,3.899,1.096,0.0351,0.9367,A-,8.42,A,6.293,B,211082,1185,822,44.161,895.8,-289.2,Neutral,7.950926789,1181,8.58485184,0.909346678,9.207335863
"48.7751394251, -95.8108171586",Roseau County,MN,48.77513943,-95.81081716,583,687,872,1061,1171,56751,15331,1662.51,9.222,32,-31,0.209,0.3078,0.1715,0.434,0.0154,18.19,0.7993,4.338,0.0184,0.1039,2.011,8.852,1.165,0.0353,0.9287,A-,23.34,D-,12.17,D,189579,1064,720,47.778,874.8,-189.2,Neutral,8.130206528,1032,8.603370888,0.906119177,9.654833867
"45.4439531217, -93.7745948671",Sherburne County,MN,45.44395312,-93.77459487,1007,1149,1410,1916,2209,55308,97183,436.3,222.744,1576,3638,1.622,0.2294,0.0654,0.3982,0.0165,5.945,0.6818,1.548,0.0172,0.0564,0.8128,2.097,1.098,0.0116,0.7095,A+,8.192,A,4.075,A+,386353,2168,1431,51.502,1538.2,-629.8,Neutral,7.769053247,1267,8.519071426,0.813371678,11.48708444
"44.5794783729, -94.2321420772",Sibley County,MN,44.57947837,-94.23214208,574,692,858,1095,1190,55335,14836,588.65,25.203,28,113,0.189,0.9697,0.029,0.4195,0.0171,5.637,0.7191,4.307,0.017,0.0328,1.227,11.12,1.098,0.054,1.435,C+,10.68,B-,13.53,D-,219479,1232,850,44.941,881.8,-350.2,Neutral,7.98339914,1151,8.573384471,1.092258815,9.622582464
"47.589861371, -92.4614657054",St. Louis County,MN,47.58986137,-92.46146571,780,838,1087,1435,1789,55802,200231,6225.16,32.165,200,-691,0.1,4.488,9.649,0.6573,0.0198,46.22,21.18,9.4,0.1162,0.2143,13.42,19.93,1.448,0.0548,14.81,F,76.91,F,35.06,F,242408,1360,853,59.437,1185.8,-174.2,Neutral,8.052109094,1103,8.606119401,2.794594803,12.20855456
